ID,MP Name,Nature of membership,Start of Term,End of Term,Number of terms,Constituency,State,Political party,Gender,Educational qualifications,Educational qualifications - details,Age,Debates,Private Member Bills,Questions,Attendance,Notes,National Debates average,National Private Member Bills average,National Questions average,National Attendance average,State's Debates average,State's Private Member Bills average,State Questions,State's Attendance average,,House
841823,A. Chellakumar,Elected,"Thursday, May 23, 2019",In office,First Term,Krisnagiri,Tamil Nadu,Indian National Congress,Male,Information not available,Information Not Available,,12,0,15,68%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,13,0.2,34,84%,,Lok Sabha
841554,A. Ganeshamurthi,Elected,"Thursday, May 23, 2019",In office,Third Term,Erode,Tamil Nadu,Dravida Munnetra Kazhagam,Male,Graduate,"B.A. (Economics); Educated at Thayagaraja College, Chennai, Tamil Nadu.",72,9,0,48,95%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,13,0.2,34,84%,,Lok Sabha
841824,A. M. Arif,Elected,"Thursday, May 23, 2019",In office,First Term,Alappuzha,Kerala,Communist Party of India (Marxist),Male,Professional Graduate,"BSc. (Zoology), LLB educated at S.N. College, Cherthala, and Kerala Law Academy, Thiruvananthapuram",55,35,0,23,96%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,22.5,0.7,51,89%,,Lok Sabha
841825,A. Narayanaswamy,Elected,"Thursday, May 23, 2019",In office,First Term,Chitradurga,Karnataka,Bharatiya Janata Party,Male,Graduate,"B.A. Educated at Government Arts College, Bengaluru",62,2,0,8,68%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,5.1,0,37,78%,,Lok Sabha
841826,A.K.P. Chinraj,Elected,"Thursday, May 23, 2019",In office,First Term,Namakkal,Tamil Nadu,Dravida Munnetra Kazhagam,Male,Information not available,Information Not Available,54,5,0,66,72%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,13,0.2,34,84%,,Lok Sabha
841827,Abdul Khaleque,Elected,"Thursday, May 23, 2019",In office,First Term,Barpeta,Assam,Indian National Congress,Male,Post Graduate,"M.A. (Double) Educated at Guwahati University, Vinayika Mission University",48,16,0,48,100%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,9.8,0,27,87%,,Lok Sabha
841556,Abhishek Banerjee,Elected,"Thursday, May 23, 2019",In office,Second Term,Diamond Harbour,West Bengal,All India Trinamool Congress,Male,Post Graduate,Post Graduate,32,1,0,1,12%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,11.7,0.2,20,81%,,Lok Sabha
841819,Abu Hasem Khan Choudhury,Elected,"Thursday, May 23, 2019",In office,Fourth Term,Maldaha Dakshin,West Bengal,Indian National Congress,Male,Graduate,"Graduate (Degree in Industrial Psychology) Educated at Northampton College of Technology, England and University of Guleph, Ontario, Canada",81,3,0,0,79%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,11.7,0.2,20,81%,,Lok Sabha
841828,Abu Taher Khan,Elected,"Thursday, May 23, 2019",In office,First Term,Murshidabad,West Bengal,All India Trinamool Congress,Male,Information not available,Information Not Available,58,3,0,0,72%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,11.7,0.2,20,81%,,Lok Sabha
841658,Achyutananda Samanta,Elected,"Thursday, May 23, 2019",In office,First Term,Kandhamal,Odisha,Biju Janata Dal,Male,Doctorate,"M.Sc. (Chemistry), Ph.D, Educated at Utkal University, KIIT University, Odisha",55,10,0,25,86%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,12.1,0.2,23,87%,,Lok Sabha
