ID,MP Name,Nature of membership,Start of Term,End of Term,Number of terms,Constituency,State,Political party,Gender,Educational qualifications,Educational qualifications - details,Age,Debates,Private Member Bills,Questions,Attendance,Notes,National Debates average,National Private Member Bills average,National Questions average,National Attendance average,State's Debates average,State's Private Member Bills average,State Questions,State's Attendance average,,House
1952,A. Elavarasan,Elected,"Wednesday, July 25, 2007","Wednesday, July 24, 2013",First Term,Tamil Nadu,,All India Anna Dravida Munnetra Kazhagam,Male,Information not available,Information not available,62,38,0,574,84%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),34,1,262,79,43.3,0.7,292,75%,,Rajya Sabha
842947,A. Mohammedjan,Elected,"Thursday, July 25, 2019",In office,First Term,Tamil Nadu,,All India Anna Dravida Munnetra Kazhagam,Male,Information not available,Information not available,,6,0,9,67%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),13.6,0.2,19,79,19.5,0.1,21,75%,,Rajya Sabha
1953,A. Navaneethakrishnan,Elected,"Thursday, June 30, 2016",In office,Second Term,Tamil Nadu,,All India Anna Dravida Munnetra Kazhagam,Male,Professional Graduate,"B.Sc., B.L. educated at A.V.V.M. Sri Pushpam College, Poondi, Dist. Thanjavur, Tamil Nadu and Law College, Chennai",63,169,0,0,85%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),90.8,1.4,308,79,132.8,0.8,441,75%,,Rajya Sabha
1954,A. Vijayakumar,Elected,"Thursday, June 30, 2016",In office,First Term,Tamil Nadu,,All India Anna Dravida Munnetra Kazhagam,Male,Professional Graduate,"B.L., B.A. from Madurai Kamarajar University",62,25,0,321,79%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),55.7,0.9,188,79,82.6,0.5,257,75%,,Rajya Sabha
1955,A. Vijayaraghavan,Elected,"Saturday, April 3, 2004","Friday, April 2, 2010",Second Term,Kerala,,Communist Party of India (Marxist),Male,Professional Graduate,"B.A., LL.B. Educated at St. Gemmas U.P. School, Government High School, Malappuram, Government College, Malappuram and Government Law College, Kozhikode",63,12,0,82,74%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),8.3,0.2,62,79,8.5,0,85,75%,,Rajya Sabha
1956,A. W. Rabi Bernard,Elected,"Tuesday, July 19, 2011","Wednesday, June 29, 2016",First Term,Tamil Nadu,,All India Anna Dravida Munnetra Kazhagam,Male,Graduate,"B.A. (Journalism and Mass Communication), Certificate in Radio Management and Sales, Investigative Journalism, M.A. (Communications)Educated at University of Santo Thomas, Manila, Phillippines",69,21,0,227,77%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),58.3,1.1,282,79,78.3,0.9,379,75%,,Rajya Sabha
1957,A.A. Jinnah,Elected,"Thursday, April 3, 2008","Wednesday, April 2, 2014",First Term,Tamil Nadu,,Dravida Munnetra Kazhagam,Male,Professional Graduate,"B.A., B.L. Educated at Loyola College, Chennai and Law College, Chennai (Tamil Nadu)",78,16,0,205,89%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),40.3,1,293,79,51.2,0.7,331,75%,,Rajya Sabha
1958,A.K. Antony,Elected,"Sunday, April 3, 2016",In office,Fifth Term,Kerala,,Indian National Congress,Male,Professional Graduate,"B.A., B.L. Educated at University of Kerala",78,11,0,0,83%,"This MP has been re-elected/nominated. The previous term ended on Apr 2, 2016. (Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.)",122.9,2.2,539,79,196,1.9,720,75%,,Rajya Sabha
1959,A.K. Selvaraj,Elected,"Thursday, April 3, 2014",In office,First Term,Tamil Nadu,,All India Anna Dravida Munnetra Kazhagam,Male,Graduate,"B.A. (Geography) Educated at Government Arts College, Madras University, Coimbatore, Tamil Nadu",61,86,0,792,82%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),91,1.4,308,79,133,0.8,441,75%,,Rajya Sabha
1960,A.U. Singh Deo,Elected,"Thursday, April 3, 2014","Tuesday, April 3, 2018",First Term,Odisha,,Biju Janata Dal,Male,Graduate,"B.A. Educated at Lucknow University, Lucknow (Uttar Pradesh)",74,47,0,340,63%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),61.8,1,231,79,54.9,0.2,288,77%,,Rajya Sabha
1961,A.V. Swamy,Elected,"Wednesday, April 4, 2012","Tuesday, April 3, 2018",First Term,Odisha,,Independent,Male,Professional Graduate,"B.Sc. (Hons.), B.Sc. (Tech.), LL.B., Certificate in Aid Administration Educated at Ravenshaw College, Cuttack, U.D.C.T., Bombay University, Mumbai, Utkal University, Bhubaneswar and Selly Oak College, Birmingham, U.K.",90,55,0,74,94%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),78.1,1.4,342,79,75.1,0.7,373,77%,,Rajya Sabha
1962,Aayanur Manjunath,Elected,"Thursday, July 1, 2010","Thursday, June 30, 2016",First Term,Karnataka,,Bharatiya Janata Party,Male,Professional Graduate,"B.A., L.L.B.; Educated at Sahyadri College and National College of Law, Shimoga",64,4,0,388,78%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),65.5,1.2,335,79,38,1.3,255,73%,,Rajya Sabha
1963,Abani Roy,Elected,"Friday, August 19, 2005","Thursday, August 18, 2011",Third Term,West Bengal,,Revolutionary Socialist Party,Male,Inter/ Higher Secondary,"Intermediate (in Science) Educated at Raisina Bengali Higher Secondary School, New Delhi and City-College, Ram Mohan Roy Sarani, Kolkata",80,9,0,0,88%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),18.6,0.6,142,79,27.9,0.4,97,72%,,Rajya Sabha
1964,Abdul Wahab Peevee,Elected,"Wednesday, April 22, 2015",In office,Second Term,Kerala,,Indian Union Muslim League,Male,Graduate,"Educated at Government Manavedan High School, Nilambur and MES College, Mampad, Kerala",69,20,0,198,43%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),81.6,1.4,316,79,119.6,0.9,382,75%,,Rajya Sabha
1965,Abhishek Manu Singhvi,Elected,"Tuesday, April 3, 2018",In office,Third Term,West Bengal,,Indian National Congress,Male,Doctorate,"B.A.(Hons.), M.A., Ph.D., PIL Educated at St. Columba's School, Delhi, St. Stephen's College, Delhi University, Trinity College, University of Cambridge, U.K. and Havard University, U.S.A.",60,16,3,69,44%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),131.3,2.4,602,79,135.6,2.3,726,72%,,Rajya Sabha
591451,Abir Ranjan Biswas,Elected,"Tuesday, April 3, 2018",In office,First Term,West Bengal,,All India Trinamool Congress,Male,Information not available,Information not available,47,68,0,5,88%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),29.1,0.4,78,79,42.3,0.5,81,72%,,Rajya Sabha
591453,Achyutananda Samanta (RS),Elected,"Wednesday, April 4, 2018","Wednesday, May 22, 2019",First Term,Odisha,,Biju Janata Dal,Male,Information not available,Information not available,55,0,0,0,53%,(Data corresponds to the period from 1 Jun 2009 to 13 Dec 2019.),7,0.1,39,79,4.7,0,24,77%,,Rajya Sabha
