Title,Date,Participants,Ref.Keywords
"The Motion for consideration of the Banning of Unregulated Deposit Schemes Bill, 2018 (Motion adopted and Bill passed). ",13-02-2019,"Chautala Shri Dushyant,Somaiya Dr. Kirit,Venkatesh Babu Shri T.G.,Reddy Shri A.P. Jithender,Premachandran Shri N.K.,Roy Prof. Saugata,Kumar Shri Kaushalendra,Mahtab Shri Bhartruhari,Salim Shri Mohammad,Bandyopadhyay Shri Sudip,Sule Smt. Supriya Sadanand,Butta Smt. Renuka,Ranjan (Pappu Yadav) Shri Rajesh,Adsul Shri Anandrao ,Chowdhury Shri Adhir Ranjan,GOYAL SHRI PIYUSH,GOYAL SHRI PIYUSH,","CBI,Chit Fund Companies,Economic Offences,Frauds,Offenders,Poor,Investors,Cooperative Societies,Scams,Fraudulant Practices"
"The Motion for consideration of the Jallianwala Bagh National Memorial (Amendment) Bill, 2018 (Motion adopted and Bill passed). ",13-02-2019,"Dubey Shri Nishikant ,Sharma Dr. Mahesh,Sharma Dr. Mahesh,Chandumajra Shri Prem Singh,Venugopal Shri K. C.,Mahtab Shri Bhartruhari,Rajesh Shri M. B.,Bose Prof. (Dr.) Sugata,Badal Smt. Harsimrat Kaur,Badal Smt. Harsimrat Kaur,Sawant Shri Arvind Ganpat,Tharoor Dr. Shashi,","Freedom Fighters,Indian National Congress,Leader of Opposition,Nationalism,Political Parties,Trusts,Freedom Movement,Preservation of Cultural Heritage,Trustee,Funds,National Monuments"
"Amendments made by Rajya Sabha to the Personal Laws (Amendment) Bill, 2019 (Motion adopted).",13-02-2019,PRASAD SHRI RAVI SHANKAR,
"The motion for the consideration of the Finance Bill, 2019 (motion adopted and bill passed). ",12/2/2019,"Meghwal Shri Arjun Ram ,Mann Shri Bhagwant,Dubey Shri Nishikant ,Dubey Shri Nishikant ,Sundaram Shri P.R.,Ray Dr. Ravindra Kumar,Venugopal Shri K. C.,Premachandran Shri N.K.,Goud Dr. Boora Narsaiah,Roy Prof. Saugata,Kumar Shri Kaushalendra,Devegowda Shri H.D.,Kharge Shri Mallikarjun ,Mahtab Shri Bhartruhari,Mahtab Shri Bhartruhari,Hansdah Shri Rama Chandra,Rajesh Shri M. B.,Thomas Prof. Kuruppassery Varkey,Ranjan (Pappu Yadav) Shri Rajesh,Sawant Shri Arvind Ganpat,Singh Shri Radha Mohan,Birla Shri Om,Singh Deo Shri Kalikesh Narayan,Singh Deo Shri Kalikesh Narayan,GOYAL SHRI PIYUSH,GOYAL SHRI PIYUSH,GOYAL SHRI PIYUSH,GOYAL SHRI PIYUSH,","Banking Systems,Banks,Black Money,Employment,House Building Loans,Pension Schemes,Scholarships,Tax Deduction,Tax Exemption,Tax Payers,Taxation,Unemployment,Defence Forces,Reservation,Farmers' Welfare,One-Rank-One-Pension ,Agricultural Loan,Mahatma Gandhi National Rural Employment Guarantee Act (MNREGA),Goods and Services Tax (GST),Swachh Bharat Abhiyan,Pradhan Mantri Sichayeen Yojana,MUDRA Scheme,Jan Dhan Yojana,Demonetisation,Pradhan Mantri Fasal Bima Yojana,Pradhan Mantri Awaas Yojana,Rafale Deal"
"Motion for consideration of Banning of Unregulated Deposit Schemes Bill, 2019. ",12/2/2019,"Meghwal Shri Arjun Ram ,Mahtab Shri Bhartruhari,Tomar Shri Narendra Singh,Tomar Shri Narendra Singh,GOYAL SHRI PIYUSH,GOYAL SHRI PIYUSH","Bank Deposits,Chit Fund Companies,Offenders,Punishment,Illegal Activities"
"Introduction and passing of the Appropriation (Vote on Account) Bill, 2019. ",11/2/2019,GOYAL SHRI PIYUSH,
"Introduction and passing of the Appropriation Bill, 2019. ",11/2/2019,GOYAL SHRI PIYUSH,
"Introduction of the Finance Bill, 2019. ",1/2/2019,GOYAL SHRI PIYUSH,"Tax Deduction,Tax Payers,Taxes"
"Introduction of the Trade Unions (Amendment) Bill, 2019. ",8/1/2019,"Gangwar Shri Santosh Kumar,Gangwar Shri Santosh Kumar,Premachandran Shri N.K.,Rajesh Shri M. B.,Sampath Shri Anirudhan,George Shri (Adv.) Joice,Tharoor Dr. Shashi,Yadav Shri Jay Prakash Narayan","Amendments,ILO,Labour Laws,Business of the House,Standing Committee,labour reforms"
"Discussion on the motion to consider DNA Technology (Use and Application) Regulation Bill, 2018 (Bill Passed). ",8/1/2019,"Jaiswal Dr. Sanjay,Harsh Vardhan Dr. ,Harsh Vardhan Dr. ,Premachandran Shri N.K.,Goud Dr. Boora Narsaiah,Rai Shri Prem Das,Kumar Shri Kaushalendra,Biju Shri Parayamparanbil Kuttappan,Banerjee Shri Kalyan,Tharoor Dr. Shashi","Human Rights,Laboratories,Law Enforcement,Medical Sciences,Privacy Protection,Quality Standards,Crime,DNA Databank,Aadhar Card,Right to Privacy,Data Protection,Child Protection,Finger Printing,Data Bank,Investigative Agencies,DNA Sample,DNA Technology,Civil Dispute,Artificial Intelligence,DNA"
"Introduction of the Protection of Children from Sexual Offences (Amendment) Bill, 2019. ",8/1/2019,Kumar Dr. Virendra ,"Child Abuse,Sexual Harassment,Crimes,Punishments"
"Introduction of the Constitution (One Hundred and Twenty-Fourth Amendment) Bill, 2019. ",8/1/2019,GEHLOT SHRI THAAWAR CHAND,"Castes,Economically Backward,Reservation Policy"
"Discussion on the motion for consideration of the Citizenship (Amendment) Bill, 2019, as reported by Joint Committee. (Discussion Concluded and Bill Passed).",8/1/2019,"Agrawal Shri Rajendra,Ahluwalia Shri S.S.,Roy Prof. Saugata,Ajmal Maulana Badruddin,Mahtab Shri Bhartruhari,Singh Shri Rajnath,Singh Shri Rajnath,Yadav Shri Mulayam Singh,Owaisi Shri Asaduddin,Salim Shri Mohammad,Ranjan (Pappu Yadav) Shri Rajesh,Sawant Shri Arvind Ganpat,Lekhi Smt. Meenakashi,Chakravarty Smt. Bijoya,Singh Shri Sunil Kumar,Yadav Shri Jay Prakash Narayan,","Bangladesh,Bengali,Citizenship,Deportation,Hindus,Illegal Migration,Immigrants,Infiltration,Minorities,Muslims,Pakistan,Refugees,Religion,Unemployment,Scheduled Tribes (STs),Bangladeshi,Neighbouring Countries,Religious Communities,National Register of Citizens (NRC),Assamese,Land Rights,Assam Accord"
