Title,Date,Participants,Ref.Keywords
"Introduction of the Women and Girl Child (Prevention of Atrocities) Bill, 2018. ",43679,Raj Dr. Udit,"Law and Order,Safety Measures,Women Welfare,Sexual Harassment"
"Introduction of the Constitution (Amendment) Bill, 2018 (Amendment of article 16 and Ninth Schedule). ",43679,Boianapalli Shri Vinod Kumar,"Employment Opportunities,Reservation"
"Introduction of the Constitution (Amendment) Bill, 2018 (Amendment of article 51A). ",43679,Dubey Shri Nishikant ,"Fundamental Rights,Sanitation"
"Introduction of the Constitution (Amendment) Bill, 2018 (Insertion of new articles 121A and 211A). ",43679,Dubey Shri Nishikant ,"Parliament House,Statement,Council of Ministers"
"Introduction of the Merchant Shipping (Amendment) Bill, 2018 (Amendment of section 88, etc.). ",43679,Sampath Shri Anirudhan,"Seafarers,Seamen,Welfare Measures"
"Introduction of the Constitution (Amendment) Bill, 2018 (Insertion of new article 16A). ",43679,Chautala Shri Dushyant,"Employment Opportunities,Fundamental Rights"
"Introduction of the Fake News (Prohibition) Bill, 2019. ",43679,,"Mass Communication,Social Media,Rules and Regulations"
"Introduction of the Constitution (Amendment) Bill, 2018 (Amendment of articles 15 and 16). ",43679,Mishra Shri Bhairon Prasad,"Backward Classes,Educational Opportunities,Employment,Reservation"
"Introduction of the Heritage Cities and Sites (Conservation and Development) Bill, 2018. ",43679,Mishra Shri Bhairon Prasad,"Conservation Of Cultural Heritage,Tourism Development,Heritage Development"
"Introduction of the Protection of Women from Domestic Violence (Amendment) Bill, 2018 (Amendment of section 5, etc.). ",43679,Boianapalli Shri Vinod Kumar,"Financial Aid,Women Welfare,Self-help Groups,Skill Development"
"Introduction of the Criminal Law (Amendment) Bill, 2018 (Substitution of new section for Section 497, etc.). ",43679,Boianapalli Shri Vinod Kumar,"Marriage,Adultery"
"Introduction of the National Commission for Immigration Reform Bill, 2018. ",43679,Gogoi Shri Gaurav,"Illegal Migration,Rules and Regulations"
"Introduction of the Maintenance of Religious Harmony Bill, 2018. ",43679,Gogoi Shri Gaurav,"Fundamental Rights,Religious Freedom"
"Introduction of the Environment Protection (Management of Landfill Sites and Control of Non-Biodegradable Garbage) Bill, 2019. ",43679,Dubey Shri Nishikant ,"Environmental Pollution,Environmental Protection,Waste Recycling"
"Introduction of the Payment of Subsistence Allowance to Farmers and Agricultural Labourers Bill, 2018. ",43679,Raj Dr. Udit,"Financial Aid,Crop Failure,Crop Damages,Farmers' Welfare"
"Introduction of the Victims of Natural Calamities (Rehabilitation and Financial Assistance) Bill, 2018. ",43679,Raj Dr. Udit,"Financial Aid,Natural Disasters,Compensations,Relief Measures"
"Introduction of the Right to Work Bill, 2018. ",43679,Raj Dr. Udit,"Employment Opportunities,Fundamental Rights,Employment Generation"
"Introduction of the Protection of Rights of Wrongful Convicts Bill, 2018. ",43679,Solanki Dr. Kirit Premjibhai,"Human Rights,Criminals"
"Introduction of the Constitution (Amendment) Bill, 2019 (Insertion of new article 85A). ",43679,Dubey Shri Nishikant ,"Parliamentary Business,Business of the House"
"Introduction of the Forest Conservation (Amendment) Bill, 2019 (Amendment of sections 2 and 3). ",43679,Shinde Dr. Shrikant Eknath,"Afforestation,Environmental Protection,Environment Conservation"
"Introduction of the Commission for Equitable Distribution of Benefits of Reservation to Scheduled Tribes Bill, 2019. ",43679,Singh Dr. Prabhas Kumar,"Reservation Policy,Scheduled Tribes"
"Introduction of the High Court of Orissa (Establishment of a Permanent Bench at Bargarh) Bill, 2019. ",43679,Singh Dr. Prabhas Kumar,"Court Benches,Courts,Pending Cases,Court Cases"
"Introduction of the Rickshaw Puller and Road Side Mechanics (Freedom to Earn Livelihood) Bill, 2019. ",43679,Shetty Shri Gopal Chinayya,"Daily Wage,Employment Generation,Self Employment"
"Introduction of the Children of Pavement Dwellers and Sex Workers (Prevention of Abuse and Welfare Measures) Bill, 2019. ",43679,Shetty Shri Gopal Chinayya,"Child Welfare,Prostitution,Children Homes,Sexual Abuse"
"Introduction of the National Commission for Female Farmers Bill, 2019. ",43679,Dhruvanarayana Shri Rangaswamy,
"Introduction of the Prohibition of Employment as Manual Scavengers and their Rehabilitation (Amendment) Bill, 2019 (Amendment of section 2, etc.). ",43679,Solanki Dr. Kirit Premjibhai,"Sanitation Services,Sewage"
"Introduction of the National Board for Creation of Small States Bill, 2019. ",43679,Chandel Kunwar Pushpendra Singh,"Statehood,State Reorganisation"
"Introduction of the Prohibition of Child Marriage (Amendment) Bill, 2019 (Amendment of section 11). ",43679,Chandel Kunwar Pushpendra Singh,"Exploitation,Girl Child"
"Introduction of the Right to Information (Amendment) Bill, 2019 (Amendment of section 19). ",43679,Chandel Kunwar Pushpendra Singh,"Information Services,Transparency"
"Further discussion on the motion for consideration of the Tourism Promotion Corporation of India Bill, 2015 (Discussion not concluded). ",43679,"Mishra Shri Bhairon Prasad,Dubey Shri Nishikant ,Chandel Kunwar Pushpendra Singh,Thakur Shri Anurag Singh,Chauhan Shri Nihal Chand","Economic Growth,Museums,Publicity,Railway Transport,Tourism,Tourism Development,Tourism Promotion,Tourist Centres,Water Transport,Cultural Heritage,Infrastructure Development,Preservation of Cultural Heritage,Employment Generation,Tourism potential,Air Services,Road Connectivity,Heritage Development,Heritage Site"
"Introduction of the Prevention of Acid Attacks and Rehabilitation of Acid Attack Victims Bill, 2018. ",28-12-2018,Dastidar Dr. (Smt.) Kakoli Ghosh,
"Introduction of the Constitution (Amendment) Bill, 2018 (Insertion of new article 21B)</i>. ",28-12-2018,Dubey Shri Nishikant ,"Medical Facilities,Public Health,Health Care"
